user_id,order_id,Date,Amount,Merchant_id,Purchase_status
16835548,5083548765,18/03/2020,"50,000",13,Mua h_
40179392,5084520676,18/03/2020,"30,000",13,
23989249,5084208287,18/03/2020,"100,000",13,
52282081,5087761444,18/03/2020,"10,000",12,
50842952,5081986165,18/03/2020,"20,000",12,
36833267,5085234454,18/03/2020,"20,000",12,
47097814,5083138344,18/03/2020,"100,000",12,
39370440,5087256303,18/03/2020,"100,000",12,
54392525,5084346691,18/03/2020,"20,000",13,
32751207,5082103200,18/03/2020,"20,000",14,
49836753,5090373934,18/03/2020,"20,000",12,
36013684,5082223621,18/03/2020,"30,000",14,
46964124,5083587404,18/03/2020,"100,000",12,
44883509,5086130579,18/03/2020,"50,000",12,
40114884,5090135054,18/03/2020,"50,000",12,
39640528,5086540245,18/03/2020,"50,000",12,
13278396,5084346722,18/03/2020,"10,000",13,
44064450,5083481365,18/03/2020,"20,000",12,
48979717,5085848161,18/03/2020,"100,000",13,
42638852,5083960040,18/03/2020,"50,000",12,
52489431,5089183111,18/03/2020,"10,000",13,
44563550,5083628876,18/03/2020,"10,000",12,
39106427,5084707385,18/03/2020,"100,000",13,
41567269,5085525054,18/03/2020,"50,000",13,
2048145,5083293383,18/03/2020,"100,000",13,
32581758,5083691520,18/03/2020,"100,000",12,
46512896,5086774176,18/03/2020,"100,000",14,
39974416,5087381255,18/03/2020,"100,000",14,Mua h_
28697995,5090889359,18/03/2020,"100,000",13,Mua h_
47490095,5087944296,18/03/2020,"200,000",12,Mua h_
26785484,5083952722,18/03/2020,"200,000",14,Mua h_
39643441,5090307896,18/03/2020,"300,000",13,Mua h_
31648077,5086536360,18/03/2020,"500,000",14,Mua h_
48159680,5099463909,19/03/2020,"20,000",15,Mua h_
47802823,5092525521,19/03/2020,"20,000",14,Mua h_
15640972,5096106327,19/03/2020,"30,000",13,Mua h_
29015807,5091172684,19/03/2020,"50,000",13,
2472160,5092457612,19/03/2020,"100,000",12,
16924666,5091155273,19/03/2020,"20,000",13,
45498891,5099466928,19/03/2020,"20,000",12,
4264807,5094261932,19/03/2020,"10,000",14,
46556659,5099872074,19/03/2020,"50,000",13,
47620311,5092507441,19/03/2020,"100,000",14,
46831129,5097516368,19/03/2020,"30,000",12,
47717235,5091094984,19/03/2020,"50,000",12,
9607622,5097804234,19/03/2020,"10,000",13,
21996885,5091787303,19/03/2020,"100,000",12,
40753157,5091049862,19/03/2020,"50,000",12,
41195920,5093763588,19/03/2020,"20,000",12,
33919320,5093275975,19/03/2020,"50,000",13,
51129879,5098100603,19/03/2020,"20,000",12,
45995776,5099990447,19/03/2020,"100,000",14,
46965244,5099492575,19/03/2020,"10,000",12,
40154214,5091403963,19/03/2020,"10,000",14,
49597259,5091054200,19/03/2020,"50,000",12,
49456104,5091317087,19/03/2020,"10,000",13,
15054488,5093195382,19/03/2020,"100,000",12,
7570803,5099431156,19/03/2020,"30,000",13,
11044525,5092540789,19/03/2020,"10,000",13,
42224289,5091111799,19/03/2020,"20,000",12,
51834709,5093201186,19/03/2020,"10,000",13,
39666607,5097615810,19/03/2020,"50,000",14,
36176175,5098189115,19/03/2020,"20,000",12,
49349527,5091050894,19/03/2020,"50,000",12,
52380564,5097969334,19/03/2020,"50,000",13,
44849111,5097761862,19/03/2020,"50,000",12,
48766286,5094086655,19/03/2020,"10,000",12,
25904666,5095721327,19/03/2020,"300,000",14,Mua h_
41576450,5105245651,20/03/2020,"10,000",15,
42534173,5109067596,20/03/2020,"10,000",13,
45681210,5103510420,20/03/2020,"20,000",15,
45632953,5110579812,20/03/2020,"20,000",15,
50181763,5107906956,20/03/2020,"20,000",14,
24328790,5106479318,20/03/2020,"50,000",13,Mua h_
43379013,5102199148,20/03/2020,"50,000",13,Mua h_
41275949,5106947745,20/03/2020,"100,000",14,
41156326,5102468011,20/03/2020,"20,000",12,
2371695,5110087216,20/03/2020,"10,000",13,
42697652,5110578566,20/03/2020,"20,000",12,
42528227,5107233950,20/03/2020,"10,000",12,
54601457,5105243410,20/03/2020,"10,000",12,
47994915,5102231530,20/03/2020,"20,000",12,
22007639,5107832650,20/03/2020,"50,000",12,
54288850,5103398289,20/03/2020,"10,000",12,
7098799,5107783773,20/03/2020,"100,000",13,
54591632,5102603237,20/03/2020,"10,000",12,
42320951,5100258257,20/03/2020,"50,000",14,
38539269,5107987467,20/03/2020,"20,000",13,
37853765,5104419405,20/03/2020,"10,000",12,
46567806,5108209405,20/03/2020,"100,000",14,
40072189,5108905012,20/03/2020,"10,000",12,
14280880,5109453355,20/03/2020,"300,000",12,
54570393,5103288192,20/03/2020,"200,000",12,
1446781,5109591318,20/03/2020,"100,000",12,
50846165,5102518321,20/03/2020,"50,000",12,
46734782,5103841006,20/03/2020,"20,000",13,
39914366,5105925013,20/03/2020,"20,000",12,
40922104,5108574541,20/03/2020,"50,000",12,
46849053,5102015316,20/03/2020,"30,000",14,
40853952,5103015329,20/03/2020,"10,000",13,
49043650,5103978420,20/03/2020,"20,000",14,
43761724,5107043054,20/03/2020,"10,000",12,
35278033,5110528919,20/03/2020,"20,000",13,
31048343,5107748850,20/03/2020,"50,000",13,
43441532,5101511363,20/03/2020,"50,000",12,
38399188,5106881957,20/03/2020,"10,000",12,
47231944,5104504422,20/03/2020,"20,000",13,
50646713,5107635018,20/03/2020,"50,000",12,
45219424,5104853809,20/03/2020,"50,000",13,
49727194,5100398000,20/03/2020,"30,000",13,
5147678,5109156417,20/03/2020,"50,000",12,
42556236,5101722944,20/03/2020,"100,000",13,Mua h_
12047013,5107782349,20/03/2020,"20,000",13,
45510489,5104564063,20/03/2020,"30,000",12,
36745754,5108899014,20/03/2020,"100,000",12,
20344225,5106972813,20/03/2020,"10,000",12,
40838458,5106239028,20/03/2020,"100,000",12,
20520579,5102100163,20/03/2020,"300,000",12,
5450866,5103059316,20/03/2020,"100,000",12,
14838631,5102335520,20/03/2020,"50,000",12,
48294573,5101247233,20/03/2020,"200,000",12,
54066969,5103720765,20/03/2020,"10,000",12,
17988108,5105393621,20/03/2020,"50,000",14,
38968791,5102889313,20/03/2020,"200,000",12,Mua h_
49602645,5115531107,21/03/2020,"10,000",13,
36014732,5114303286,21/03/2020,"20,000",13,Mua h_
41334732,5118770468,21/03/2020,"20,000",15,Mua h_
46569620,5112558390,21/03/2020,"20,000",13,Mua h_
49980395,5113334684,21/03/2020,"100,000",15,Mua h_
38894377,5118630036,21/03/2020,"300,000",12,
43072534,5115404654,21/03/2020,"10,000",13,
40793528,5118559338,21/03/2020,"100,000",13,Mua h_
36709390,5116275334,21/03/2020,"300,000",12,
52602055,5117158908,21/03/2020,"20,000",12,
53284716,5115865272,21/03/2020,"20,000",12,
50805622,5113160805,21/03/2020,"30,000",13,
49245084,5116025298,21/03/2020,"100,000",13,
44107287,5114215990,21/03/2020,"50,000",12,
43864061,5119251661,21/03/2020,"50,000",12,
